Newly confirmed cases,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed,Deaths(Cumulative),Severe cases
3728,32700.0,1540679.0,2684.0,29674.0,992.0
2958,32398.0,1543801.0,2602.0,29686.0,982.0
2042,31478.0,1546987.0,2556.0,29714.0,962.0
3316,30846.0,1550663.0,2606.0,29758.0,960.0
4362,32254.0,1553671.0,2740.0,29784.0,928.0
4478,33258.0,1556871.0,2606.0,29824.0,882.0
4518,34030.0,1560497.0,2648.0,29856.0,856.0
4904,35812.0,1563587.0,2650.0,29886.0,850.0
4042,36664.0,1566765.0,2632.0,29900.0,864.0
2982,36708.0,1569853.0,2600.0,29908.0,848.0
4754,37746.0,1573381.0,2622.0,29932.0,824.0
6340,40094.0,1577059.0,2856.0,29970.0,792.0
6816,43110.0,1580813.0,2848.0,30018.0,752.0
6838,46488.0,1584293.0,2760.0,30044.0,764.0
7742,50242.0,1587927.0,2980.0,30070.0,756.0
6186,52630.0,1591635.0,3062.0,30086.0,784.0
4636,53224.0,1596145.0,2822.0,30110.0,812.0
7486,55594.0,1600791.0,2942.0,30148.0,780.0
9866,59946.0,1605811.0,3312.0,30184.0,784.0
10772,66012.0,1610221.0,3430.0,30202.0,862.0
8408,70034.0,1615111.0,3244.0,30220.0,872.0
7152,70872.0,1621381.0,3280.0,30236.0,896.0
10016,74446.0,1627079.0,3638.0,30246.0,932.0
9318,77586.0,1633581.0,3656.0,30262.0,1028.0
15238,84534.0,1641081.0,3764.0,30290.0,1044.0
19136,95658.0,1647991.0,4544.0,30306.0,1078.0
21374,108802.0,1655419.0,4744.0,30332.0,1252.0
21456,123026.0,1663151.0,4784.0,30354.0,1334.0
24656,138366.0,1671693.0,5042.0,30370.0,1382.0
20320,151262.0,1678761.0,5158.0,30380.0,1408.0
16648,159146.0,1688909.0,4892.0,30394.0,1508.0
24122,172288.0,1698333.0,5484.0,30424.0,1554.0
28408,187370.0,1710027.0,6766.0,30442.0,1646.0
30494,205102.0,1722647.0,6800.0,30466.0,2040.0
31248,219410.0,1740085.0,6140.0,30496.0,2136.0
31480,234094.0,1756243.0,6302.0,30532.0,2276.0
28914,246088.0,1772851.0,6754.0,30546.0,2380.0
24106,252536.0,1791235.0,6618.0,30580.0,2460.0
21130,253348.0,1812457.0,6116.0,30608.0,2664.0
31538,259912.0,1834687.0,7330.0,30646.0,2808.0
37788,274492.0,1854539.0,9282.0,30702.0,2956.0
40714,291348.0,1879443.0,8330.0,30752.0,3042.0
40264,307252.0,1903425.0,8564.0,30786.0,3126.0
35650,312812.0,1929673.0,9030.0,30802.0,3206.0
29648,315516.0,1958107.0,8700.0,30848.0,3292.0
39896,323398.0,1987367.0,9896.0,30920.0,3432.0
47820,337398.0,2016469.0,12342.0,30988.0,3530.0
50280,362212.0,2041345.0,13236.0,31054.0,3632.0
51704,386710.0,2067679.0,12224.0,31112.0,3776.0
50920,407080.0,2097085.0,12836.0,31178.0,3782.0
44542,423420.0,2125227.0,14488.0,31248.0,3796.0
33678,419126.0,2166963.0,12428.0,31312.0,3870.0
43114,425134.0,2198323.0,16536.0,31372.0,3928.0
48616,435942.0,2229489.0,21776.0,31460.0,3948.0
49932,450806.0,2264295.0,24554.0,31580.0,4000.0
