employ_apply,employ_decision,employ_cnt,life_cnt_apply,life_cnt,life_decision,pcr_test_cnt,pcr_cnt
90749.0,77134.0,618.4108494,2743221.0,2641615.0,11451.68066,41338.0,40024.0
90749.0,77134.0,618.4108494,2743221.0,2641615.0,11451.68066,130677.0,106313.0
90749.0,77134.0,618.4108494,2743221.0,2641615.0,11451.68066,97038.0,119528.0
90749.0,77134.0,618.4108494,2743221.0,2641615.0,11451.68066,87073.0,127744.0
90749.0,77134.0,618.4108494,2743221.0,2641615.0,11451.68066,122502.0,125962.0
90749.0,77134.0,618.4108494,2743221.0,2641615.0,11451.68066,99676.0,130086.0
72508.0,80238.0,678.7714782,2743221.0,2641615.0,11451.68066,66868.0,112196.0
72508.0,80238.0,678.7714782,2743221.0,2641615.0,11451.68066,35948.0,42469.0
72508.0,80238.0,678.7714782,2743221.0,2641615.0,11451.68066,95425.0,117807.0
72508.0,80238.0,678.7714782,2743221.0,2641615.0,11451.68066,86352.0,112729.0
72508.0,80238.0,678.7714782,2743221.0,2641615.0,11451.68066,149234.0,124694.0
72508.0,80238.0,678.7714782,2743221.0,2641615.0,11451.68066,97287.0,123929.0
72508.0,80238.0,678.7714782,2743221.0,2641615.0,11451.68066,117145.0,123760.0
74075.0,80073.0,722.1902478,2743221.0,2641615.0,11451.68066,66583.0,98664.0
74075.0,80073.0,722.1902478,2743221.0,2641615.0,11451.68066,35263.0,35460.0
74075.0,80073.0,722.1902478,2743221.0,2641615.0,11451.68066,91616.0,104043.0
74075.0,80073.0,722.1902478,2743221.0,2641615.0,11451.68066,70045.0,104269.0
74075.0,80073.0,722.1902478,2743221.0,2641615.0,11451.68066,87089.0,119950.0
74075.0,80073.0,722.1902478,2743221.0,2641615.0,11451.68066,116584.0,119213.0
74075.0,80073.0,722.1902478,2743221.0,2641615.0,11451.68066,118523.0,112206.0
84484.0,77311.0,656.5218065,2743221.0,2641615.0,11451.68066,57084.0,94551.0
84484.0,77311.0,656.5218065,2743221.0,2641615.0,11451.68066,30097.0,29978.0
84484.0,77311.0,656.5218065,2743221.0,2641615.0,11451.68066,83703.0,90580.0
84484.0,77311.0,656.5218065,2743221.0,2641615.0,11451.68066,67394.0,89040.0
84484.0,77311.0,656.5218065,2743221.0,2641615.0,11451.68066,76590.0,94687.0
84484.0,77311.0,656.5218065,2743221.0,2641615.0,11451.68066,176379.0,91338.0
84484.0,77311.0,656.5218065,2743221.0,2641615.0,11451.68066,98297.0,90808.0
61586.0,73422.0,607.300595,2743221.0,2641615.0,11451.68066,54184.0,71853.0
61586.0,73422.0,607.300595,2743221.0,2641615.0,11451.68066,26466.0,22634.0
61586.0,73422.0,607.300595,2743221.0,2641615.0,11451.68066,75134.0,78629.0
61586.0,73422.0,607.300595,2743221.0,2641615.0,11451.68066,62141.0,79830.0
61586.0,73422.0,607.300595,2743221.0,2641615.0,11451.68066,63215.0,94034.0
61586.0,73422.0,607.300595,2743221.0,2641615.0,11451.68066,74713.0,95074.0
61586.0,73422.0,607.300595,2743221.0,2641615.0,11451.68066,99850.0,90865.0
54719.0,68132.0,549.7138403,2743221.0,2641615.0,11451.68066,51297.0,68152.0
54719.0,68132.0,549.7138403,2743221.0,2641615.0,11451.68066,25059.0,19718.0
54719.0,68132.0,549.7138403,2743221.0,2641615.0,11451.68066,60314.0,79627.0
54719.0,68132.0,549.7138403,2743221.0,2641615.0,11451.68066,61213.0,73192.0
54719.0,68132.0,549.7138403,2743221.0,2641615.0,11451.68066,65986.0,86586.0
54719.0,68132.0,549.7138403,2743221.0,2641615.0,11451.68066,70606.0,87382.0
54719.0,68132.0,549.7138403,2743221.0,2641615.0,11451.68066,69009.0,82687.0
56561.0,63342.0,535.3005905,2743221.0,2641615.0,11451.68066,43013.0,69906.0
56561.0,63342.0,535.3005905,2743221.0,2641615.0,11451.68066,31414.0,22109.0
56561.0,63342.0,535.3005905,2743221.0,2641615.0,11451.68066,58844.0,74065.0
56561.0,63342.0,535.3005905,2743221.0,2641615.0,11451.68066,52614.0,72302.0
56561.0,63342.0,535.3005905,2743221.0,2641615.0,11451.68066,62348.0,85975.0
56561.0,63342.0,535.3005905,2743221.0,2641615.0,11451.68066,60420.0,93292.0
56561.0,63342.0,535.3005905,2743221.0,2641615.0,11451.68066,89659.0,95250.0
74236.0,63081.0,464.1985446,2743221.0,2641615.0,11451.68066,43145.0,75803.0
